LocationID,Category,AADT,AADT_Year,Latitude,Longitude
51000032,CC,3673,2019,35.544336,-87.552683
51000033,CC,7872,2019,35.541969,-87.55103
51000034,CC,501,2019,35.527724,-87.438003
51000035,CC,720,2019,35.494018,-87.711118
51000037,CC,235,2019,35.466511,-87.582758
51000038,CC,188,2019,35.484294,-87.683369
51000039,CC,85,2019,35.472207,-87.627302
51000040,CC,78,2019,35.416429,-87.589757
51000041,CC,380,2019,35.441783,-87.457995
51000042,CC,407,2019,35.585091,-87.42372
51000044,CC,144,2019,35.448732,-87.59243
51000045,CC,1019,2019,35.483241,-87.556399
51000046,CC,2710,2019,35.550194,-87.60649
51000047,CC,820,2019,35.425787,-87.476145
51000048,CC,10977,2019,35.547717,-87.550454
51000049,CC,3167,2019,35.548462,-87.552114
51000050,CC,163,2019,35.472263,-87.586686
51000051,CC,204,2019,35.552916,-87.67981
51000052,CC,144,2019,35.55138,-87.466748
51000053,CC,870,2019,35.552936,-87.579427
52000001,CC,2930,2019,35.315129,-86.641224
52000004,CC,655,2019,35.31304,-86.615532
52000005,CC,3106,2019,35.290298,-86.631416
52000008,CC,315,2019,35.32162,-86.538902
52000011,CC,1707,2019,35.275196,-86.552218
52000013,CC,327,2019,35.216325,-86.728327
52000014,CC,298,2019,35.213564,-86.744923
52000015,CC,4760,2019,35.207592,-86.727189
52000016,CC,773,2019,35.214624,-86.718482
52000018,CC,332,2019,35.177059,-86.814526
52000019,CC,643,2019,35.155837,-86.688667
52000021,CC,1740,2019,35.160294,-86.624311
52000022,CC,5906,2019,35.165514,-86.625
52000023,CC,4294,2019,35.156473,-86.589787
52000024,CC,5282,2019,35.16517,-86.577961
52000026,CC,2245,2019,35.164242,-86.558445
52000027,CC,681,2019,35.167054,-86.547135
52000029,CC,4372,2019,35.1588,-86.558491
52000030,CC,31044,2019,35.139616,-86.567677
52000032,CC,1125,2019,35.125788,-86.52578
52000034,CC,429,2019,35.2121,-86.521352
52000035,CC,285,2019,35.231034,-86.466254
52000036,CC,4409,2019,35.209058,-86.473973
52000038,CC,217,2019,35.133747,-86.459506
52000039,CC,132,2019,35.149856,-86.38559
52000042,CC,2235,2019,35.114826,-86.563777
52000043,CC,17636,2019,35.108948,-86.566307
52000044,CC,5241,2019,35.116556,-86.571499
52000047,CC,325,2019,35.102229,-86.791142
52000049,CC,258,2019,35.080645,-86.641383
52000051,CC,4080,2019,35.089086,-86.596379
52000052,CC,1928,2019,35.080094,-86.591515
52000053,CC,3949,2019,35.081198,-86.565175
52000054,CC,1588,2019,35.06656,-86.506233
52000055,CC,1386,2019,35.085825,-86.472094
52000057,CC,1202,2019,35.06926,-86.375239
52000058,CC,618,2019,35.058928,-86.411416
52000061,CC,242,2019,35.010875,-86.341829
52000062,CC,2997,2019,35.006157,-86.367994
52000063,CC,516,2019,35.011332,-86.455995
52000064,CC,866,2019,35.022685,-86.486471
52000065,CC,624,2019,35.027542,-86.500875
52000066,CC,644,2019,35.026512,-86.508986
52000068,CC,14400,2019,34.991387,-86.571556
52000069,CC,1156,2019,35.007467,-86.579867
52000070,CC,931,2019,35.013621,-86.666137
52000071,CC,1761,2019,35.017969,-86.700434
52000072,CC,1691,2019,34.999422,-86.720773
52000075,CC,193,2019,35.050243,-86.802078
52000077,CC,2269,2019,35.000946,-86.827584
52000078,CC,9780,2019,34.99192,-86.83381
52000079,CC,5849,2019,35.155387,-86.502575
52000081,CC,7573,2019,35.14487,-86.588878
52000082,CC,421,2019,35.073114,-86.401369
52000083,CC,868,2019,35.122052,-86.605468
52000084,CC,4949,2019,35.152838,-86.565391
52000085,CC,7398,2019,35.150001,-86.57099
52000086,CC,1265,2019,34.991914,-86.810832
52000087,CC,682,2019,35.082048,-86.368478
52000089,CC,4600,2019,35.176916,-86.520403
52000090,CC,2152,2019,35.200307,-86.565877
52000091,CC,3704,2019,35.2175,-86.606979
52000092,CC,2229,2019,35.021516,-86.353802
52000093,CC,13854,2019,35.160906,-86.554322
52000094,CC,15481,2019,35.143967,-86.567976
52000095,CC,3291,2019,35.161003,-86.557698
52000096,CC,1129,2019,35.160971,-86.560444
52000098,CC,2410,2019,35.015494,-86.551144
52000099,CC,1372,2019,35.05339,-86.595767
52000100,CC,2874,2019,35.088546,-86.589294
52000101,CC,1636,2019,35.084615,-86.584545
52000102,CC,1906,2019,35.13149,-86.535256
52000103,CC,4638,2019,35.091961,-86.401788
52000104,CC,237,2019,35.038438,-86.409257
52000105,CC,633,2019,35.016687,-86.387754
52000106,CC,826,2019,35.15368,-86.588129
52000107,CC,1424,2019,35.146316,-86.579218
52000108,CC,696,2019,35.153896,-86.555762
52000109,CC,1545,2019,35.095128,-86.528867
52000110,CC,530,2019,35.148183,-86.684685
52000112,CC,442,2019,35.049813,-86.753733
52000113,CC,1478,2019,35.005253,-86.513914
52000114,CC,13740,2019,35.067453,-86.572454
52000115,CC,1667,2019,35.07847,-86.416836
52000116,CC,1137,2019,35.164515,-86.580208
52000117,CC,764,2019,35.156199,-86.571311
52000118,CC,1754,2019,35.148524,-86.572557
52000119,CC,4588,2019,35.153537,-86.570424
