county,geometry
Haywood,"POLYGON ((-89.50118236242804 35.58102607487515, -89.40046028453993 35.82278844372622, -89.356283934589 35.81780365261589, -89.33861339460863 35.79038730150906, -89.06825413290893 35.6931838748576, -89.07885645689716 35.43148234156521, -89.18134558878332 35.43272853934279, -89.18311264278135 35.39783500157048, -89.47290949845944 35.40281979268081, -89.46937539046337 35.54737873488041, -89.50118236242804 35.58102607487515))"
Fentress,"POLYGON ((-85.1206555012938 36.40725520141256, -85.0446721793782 36.55929133027767, -84.94395010149007 36.58172289027416, -84.73190362172561 36.52439779250535, -84.65945440780608 36.39479322363673, -84.70009664976094 36.37111546586266, -84.79728461965298 36.29634359920769, -84.87680204956466 36.28512781920944, -84.90860902152933 36.15552325034083, -85.0305357473939 36.17047762367183, -85.10121790731539 36.13807648145468, -85.1206555012938 36.14430747034259, -85.08354736733502 36.19540157922349, -85.12242255529183 36.30382078587319, -85.1206555012938 36.40725520141256))"
Dickson,"POLYGON ((-87.5662582345773 36.17795481033733, -87.52384893862441 36.24898808365954, -87.51324661463619 36.33497573031276, -87.30296718886976 36.31254417031627, -87.28706370288742 36.32126755475934, -87.15276759903659 36.30506698365077, -87.19340984099145 36.24898808365954, -87.14923349104052 36.17670861255974, -87.18280751700323 36.04959643924629, -87.18987573299538 35.97482457259132, -87.20401216497967 35.95862400148275, -87.53445126261263 35.99227134147748, -87.55212180259301 36.01594909925156, -87.5662582345773 36.17795481033733))"
Benton,"POLYGON ((-88.21299999785892 36.11938351479093, -88.08577211000024 36.25397287476987, -88.08753916399827 36.26768105032329, -88.09284032599238 36.27515823698878, -88.09284032599238 36.28014302809911, -88.08930621799631 36.28886641254219, -88.09460737999042 36.29260500587494, -88.09107327199435 36.29509740143011, -88.10344264998061 36.3100517747611, -88.10167559598257 36.32625234586968, -88.09284032599238 36.33996052142309, -88.09637443398846 36.35865348808683, -88.03276049005912 36.35989968586441, -87.99211824810426 36.35989968586441, -87.98151592411604 36.3536686969765, -87.94440779015726 36.26394245699053, -87.94970895215137 36.24275709477163, -87.91966903418474 36.1293530970116, -88.02215816607089 35.96485499037066, -87.92673725017688 35.92996145259834, -87.96384538413567 35.84023521261238, -87.97091360012782 35.8165574548383, -88.05219808403753 35.84895859705546, -88.17765891789817 35.84522000372271, -88.21830115985303 35.84646620150029, -88.21299999785892 36.11938351479093))"
Tipton,"POLYGON ((-89.94471291593538 35.56108691043382, -89.75740519214344 35.65081315041979, -89.62310908829261 35.65330554597495, -89.50118236242804 35.58102607487515, -89.46937539046337 35.54737873488041, -89.47290949845944 35.40281979268081, -89.61604087230046 35.3891116171274, -89.63194435828279 35.37664963935157, -89.70262651820428 35.40905078156872, -89.86519548602371 35.39160401268256, -90.04013383182939 35.39658880379289, -90.04543499382351 35.41528177045663, -90.02246329184902 35.45765249489445, -90.04543499382351 35.4975308237771, -90.03659972383332 35.55111732821316, -89.95884934791968 35.54239394377008, -89.94471291593538 35.56108691043382))"
Hamilton,"POLYGON ((-85.47406630090124 34.98409733941298, -85.36627600702097 35.07257738162136, -85.38748065499742 35.14734924827633, -85.24611633515444 35.31932454158276, -85.22667874117603 35.35421807935508, -85.1683659592408 35.45640629711686, -85.13479193327809 35.45889869267203, -85.10298496131342 35.42898994601004, -85.0163993154096 35.40905078156872, -85.03230280139194 35.38038823268432, -84.94571715548811 35.28816959714319, -85.02700163939782 35.13613346827808, -85.00933109941745 35.09251654606268, -84.96162064147045 35.01525228385255, -84.97752412745278 34.98783593274572, -84.97929118145082 34.98658973496814, -85.0446721793782 34.98658973496814, -85.26555392913285 34.98534353719056, -85.27792330711911 34.98534353719056, -85.36450895302293 34.98285114163539, -85.38571360099938 34.98285114163539, -85.47406630090124 34.98409733941298))"
Hickman,"POLYGON ((-87.71645782441047 35.83774281705721, -87.70762255442028 35.90503749704668, -87.5326842086146 35.96859358370341, -87.53445126261263 35.99227134147748, -87.20401216497967 35.95862400148275, -87.2004780569836 35.939931034819, -87.2146144889679 35.85020479483304, -87.25525673092275 35.7006610615231, -87.3383082688305 35.65953653486287, -87.46023499469507 35.61591961264747, -87.58746288255375 35.65330554597495, -87.65814504247524 35.60968862375955, -87.74473068837905 35.6645213259732, -87.71645782441047 35.83774281705721))"
Carroll,"POLYGON ((-88.69363868532504 36.06205841702212, -88.65653055136626 36.11689111923577, -88.53283677150365 36.1143987236806, -88.53106971750562 36.15178465700809, -88.21299999785892 36.14555366812017, -88.21299999785892 36.11938351479093, -88.21830115985303 35.84646620150029, -88.17765891789817 35.84522000372271, -88.17942597189621 35.81780365261589, -88.56994490546244 35.82528083928138, -88.60705303942122 35.79038730150906, -88.70777511730934 35.79163349928665, -88.69363868532504 36.06205841702212))"
Hawkins,"POLYGON ((-83.27938523533902 36.39479322363673, -83.12035037551567 36.5131820125071, -83.01079302763736 36.56302992361042, -82.9507131917041 36.54309075916909, -82.83055351983757 36.59418486804999, -82.60967177008291 36.59543106582757, -82.61143882408095 36.51941300139502, -82.70332563197888 36.45585691473829, -82.68212098400244 36.43217915696422, -82.70332563197888 36.40974759696773, -82.93834381371784 36.33497573031276, -83.08324224155689 36.24151089699405, -83.16099261747053 36.34494531253342, -83.2546464793665 36.28886641254219, -83.28822050532921 36.37859265252816, -83.27938523533902 36.39479322363673))"
Wilson,"POLYGON ((-86.59437853565683 36.2452494903268, -86.55196923970394 36.31877515920418, -86.5219293217373 36.27765063254395, -86.45124716181581 36.33497573031276, -86.29751346398658 36.31379036809385, -86.28337703200228 36.34743770808858, -86.26393943802387 36.29883599476285, -86.20562665608864 36.34245291697825, -86.13671155016519 36.29509740143011, -86.11550690218874 36.26892724810087, -86.05896117425155 36.0857361747962, -86.06249528224762 36.06953560368762, -86.01478482430062 35.96111639703791, -86.08900109221818 35.97357837481374, -86.15261503614752 35.95363921037242, -86.25157006003761 35.96111639703791, -86.51486110574515 36.10069054812719, -86.55550334770001 36.13433788812193, -86.59437853565683 36.2452494903268))"
Decatur,"POLYGON ((-88.17942597189621 35.81780365261589, -88.17765891789817 35.84522000372271, -88.05219808403753 35.84895859705546, -87.97091360012782 35.8165574548383, -88.03452754405716 35.71810783040926, -88.03629459805519 35.62215060153538, -87.97444770812389 35.52120858155117, -88.04336281404734 35.44519051711862, -88.0080217340866 35.42400515489971, -87.97444770812389 35.40531218823597, -88.02569227406697 35.39285021046015, -88.19709651187658 35.38038823268432, -88.24303991582555 35.42400515489971, -88.24834107781966 35.44020572600829, -88.24303991582555 35.52868576821667, -88.19179534988247 35.60968862375955, -88.17942597189621 35.81780365261589))"
Hamblen,"POLYGON ((-83.2546464793665 36.28886641254219, -83.16099261747053 36.34494531253342, -83.08324224155689 36.24151089699405, -83.14155502349212 36.18667819478041, -83.1645267254666 36.18044720589249, -83.18573137344305 36.17421621700458, -83.17512904945482 36.12686070145643, -83.24581120937631 36.12436830590126, -83.23344183139005 36.08448997701861, -83.27408407334491 36.13059929478918, -83.42605071717611 36.15427705256325, -83.46669295913097 36.17421621700458, -83.44902241915059 36.21783313921998, -83.32709569328603 36.29634359920769, -83.2546464793665 36.28886641254219))"
Henderson,"POLYGON ((-88.60705303942122 35.79038730150906, -88.56994490546244 35.82528083928138, -88.17942597189621 35.81780365261589, -88.19179534988247 35.60968862375955, -88.24303991582555 35.52868576821667, -88.24834107781966 35.44020572600829, -88.24303991582555 35.42400515489971, -88.26071045580592 35.41652796823421, -88.36143253369404 35.41902036378938, -88.36496664169012 35.49379223044435, -88.5063309615331 35.51248519710809, -88.56641079746636 35.58725706376306, -88.61412125541337 35.58850326154064, -88.60351893142514 35.62713539264571, -88.60705303942122 35.79038730150906))"
Jefferson,"POLYGON ((-83.66637006090917 36.08075138368586, -83.67343827690132 36.12436830590126, -83.54090922704853 36.18169340367007, -83.46669295913097 36.17421621700458, -83.42605071717611 36.15427705256325, -83.27408407334491 36.13059929478918, -83.23344183139005 36.08448997701861, -83.25818058736257 35.99974852814298, -83.27585112734295 36.00722571480848, -83.29528872132136 35.9037912992691, -83.30942515330565 35.89506791482602, -83.47376117512312 35.92248426593284, -83.67343827690132 36.03838065924805, -83.70877935686207 36.09321336146169, -83.66637006090917 36.08075138368586))"
Monroe,"POLYGON ((-84.18765099033016 35.61093482153714, -84.08162775044792 35.5411477459925, -83.99327505054606 35.54987113043558, -83.93849637660691 35.48756124155643, -83.95793397058532 35.45765249489445, -83.97207040256961 35.45266770378412, -84.02154791451466 35.40780458379113, -84.00741148253036 35.37166484824124, -84.03745140049699 35.34923328824475, -84.02331496851269 35.29564678380869, -84.0286161305068 35.29190819047594, -84.09753123643026 35.24704507048295, -84.17881572033997 35.24081408159504, -84.2229920702909 35.26947663047945, -84.28307190622417 35.22710590604163, -84.28660601422024 35.20592054382272, -84.32548120217704 35.21962871937613, -84.35728817414171 35.23333689492954, -84.49511838598862 35.28567720158802, -84.40146452409265 35.330540321581, -84.40853274008479 35.39908119934806, -84.52515830395525 35.62464299709055, -84.5039536559788 35.66576752375078, -84.29014012221631 35.65579794153012, -84.18765099033016 35.61093482153714))"
Blount,"POLYGON ((-84.16644634235371 35.80534167484006, -84.14347464037922 35.79661829039698, -84.14524169437726 35.84895859705546, -84.02331496851269 35.84023521261238, -83.9950421045441 35.88260593705019, -83.85367778470112 35.84023521261238, -83.79359794876785 35.88634453038294, -83.70524524886599 35.71187684152135, -83.6628359529131 35.69069147930244, -83.6628359529131 35.56856409709932, -83.77062624679337 35.5623331082114, -83.84837662270701 35.51996238377359, -83.91729172863046 35.47385306600302, -83.9526328085912 35.46014489044961, -83.95793397058532 35.45765249489445, -83.93849637660691 35.48756124155643, -83.99327505054606 35.54987113043558, -84.08162775044792 35.5411477459925, -84.18765099033016 35.61093482153714, -84.13463937038904 35.64832075486462, -84.17174750434782 35.71312303929893, -84.16644634235371 35.80534167484006))"
Hardin,"POLYGON ((-88.36319958769208 35.3816344304619, -88.36143253369404 35.41902036378938, -88.26071045580592 35.41652796823421, -88.24303991582555 35.42400515489971, -88.19709651187658 35.38038823268432, -88.02569227406697 35.39285021046015, -87.98151592411604 35.29564678380869, -87.98505003211211 35.00652889940947, -88.00095351809445 35.00652889940947, -88.20416472786873 35.00777509718705, -88.20063061987265 34.99531311941122, -88.25894340180788 34.99531311941122, -88.36496664169012 34.99531311941122, -88.38087012767245 34.99531311941122, -88.37556896567834 35.30437016825176, -88.36319958769208 35.3816344304619))"
Cannon,"POLYGON ((-86.15261503614752 35.95363921037242, -86.08900109221818 35.97357837481374, -86.01478482430062 35.96111639703791, -85.88932399043999 35.85643578372095, -85.88578988244392 35.83898901483479, -85.99711428432025 35.71187684152135, -85.98474490633399 35.66078273264045, -86.08723403822015 35.64707455708704, -86.20562665608864 35.70439965485585, -86.14024565816126 35.91376088148976, -86.15261503614752 35.95363921037242))"
Wayne,"POLYGON ((-88.02569227406697 35.39285021046015, -87.97444770812389 35.40531218823597, -88.0080217340866 35.42400515489971, -87.98858414010819 35.4539139015617, -87.71822487840851 35.48382264822369, -87.64577566448898 35.47260686822544, -87.57509350456749 35.39908119934806, -87.57332645056945 35.04889962384728, -87.60690047653216 35.0040365038543, -87.62457101651253 35.0040365038543, -87.85252098225932 35.00528270163188, -87.98505003211211 35.00652889940947, -87.98151592411604 35.29564678380869, -88.02569227406697 35.39285021046015))"
Pickett,"POLYGON ((-85.27615625312107 36.62658601026714, -85.09591674532128 36.62284741693439, -84.97575707345474 36.61412403249131, -84.94395010149007 36.61287783471373, -84.78491524166672 36.60290825249307, -84.73190362172561 36.52439779250535, -84.94395010149007 36.58172289027416, -85.0446721793782 36.55929133027767, -85.1206555012938 36.40725520141256, -85.26201982113678 36.53436737472601, -85.28499152311126 36.53062878139326, -85.26732098313089 36.57299950583108, -85.27615625312107 36.62658601026714))"
Scott,"POLYGON ((-84.77784702567457 36.60290825249307, -84.50041954798273 36.59667726360515, -84.26186725824772 36.5929386702724, -84.2512649342595 36.53436737472601, -84.26716842024183 36.51193581472952, -84.33078236417116 36.50944341917435, -84.35021995814957 36.46582649695895, -84.32901531017312 36.28512781920944, -84.37319166012405 36.21658694144239, -84.40323157809068 36.17421621700458, -84.44033971204946 36.16300043700633, -84.57463581590029 36.22904891921822, -84.70009664976094 36.37111546586266, -84.65945440780608 36.39479322363673, -84.73190362172561 36.52439779250535, -84.78491524166672 36.60290825249307, -84.78491524166672 36.60290825249307, -84.77784702567457 36.60290825249307))"
Sevier,"POLYGON ((-83.79359794876785 35.88634453038294, -83.65046657492684 35.98604035258957, -83.67343827690132 36.03838065924805, -83.47376117512312 35.92248426593284, -83.30942515330565 35.89506791482602, -83.26171469535865 35.82652703705897, -83.2546464793665 35.71561543485409, -83.26348174935669 35.70315345707827, -83.29705577531939 35.65829033708528, -83.34653328726444 35.66078273264045, -83.420749555182 35.61218101931472, -83.45255652714667 35.60345763487164, -83.49849993109564 35.56357930598899, -83.5868526309975 35.56731789932174, -83.65223362892488 35.56856409709932, -83.6628359529131 35.56856409709932, -83.6628359529131 35.69069147930244, -83.70524524886599 35.71187684152135, -83.79359794876785 35.88634453038294))"
Grundy,"POLYGON ((-85.91406274641251 35.28941579492077, -85.86988639646158 35.38038823268432, -85.87695461245373 35.52494717488392, -85.82040888451654 35.50500801044259, -85.60836240475207 35.53242436154942, -85.4864356788875 35.40655838601356, -85.55888489280703 35.31932454158276, -85.71085153663823 35.28941579492077, -85.74089145460486 35.21589012604338, -85.87342050445766 35.22336731270888, -85.91406274641251 35.28941579492077))"
Anderson,"POLYGON ((-84.44033971204946 36.16300043700633, -84.40323157809068 36.17421621700458, -84.37319166012405 36.21658694144239, -84.24242966426931 36.17670861255974, -84.22652617828697 36.24400329254922, -84.06925837246166 36.2302951169958, -84.03215023850288 36.30132839031802, -84.00387737453428 36.27017344587846, -83.99857621254017 36.25148047921471, -83.94203048460298 36.18543199700282, -84.09399712843418 36.06828940591004, -84.27246958223594 35.939931034819, -84.2707025282379 35.91002228815702, -84.32018004018293 35.9910251436999, -84.34138468815938 36.04835024146871, -84.44917498203965 36.14181507478742, -84.44033971204946 36.16300043700633))"
Greene,"POLYGON ((-83.1645267254666 36.18044720589249, -83.14155502349212 36.18667819478041, -83.08324224155689 36.24151089699405, -82.93834381371784 36.33497573031276, -82.70332563197888 36.40974759696773, -82.6326434720574 36.41847098141081, -82.64854695803973 36.14555366812017, -82.59553533809861 36.09570575701686, -82.60613766208684 36.03713446147047, -82.62910936406132 36.06205841702212, -82.72629733395337 36.01719529702914, -82.77930895389449 35.99227134147748, -82.78814422388467 35.95114681481725, -82.81641708785327 35.92373046371043, -82.8605934378042 35.9474082214845, -82.89416746376691 35.93370004593109, -83.1026798355353 36.12062971256852, -83.17159494145875 36.15676944811842, -83.1645267254666 36.18044720589249))"
Giles,"POLYGON ((-87.20577921897771 35.43397473712037, -87.12979589706211 35.45640629711686, -86.96015871325054 35.4177741660118, -86.90538003931138 35.31433975047243, -86.82762966339774 35.26449183936911, -86.83646493338793 34.99282072385606, -87.21108038097182 34.99905171274397, -87.21638154296593 34.99905171274397, -87.22344975895808 34.99905171274397, -87.23228502894827 35.28816959714319, -87.20577921897771 35.43397473712037))"
Overton,"POLYGON ((-85.49527094887769 36.40227041030223, -85.44756049093068 36.49822763917611, -85.28499152311126 36.53062878139326, -85.26201982113678 36.53436737472601, -85.1206555012938 36.40725520141256, -85.12242255529183 36.30382078587319, -85.08354736733502 36.19540157922349, -85.1206555012938 36.14430747034259, -85.20370703920155 36.15178465700809, -85.41928762696209 36.23527990810614, -85.49527094887769 36.3025745880956, -85.49880505687376 36.37485405919541, -85.49527094887769 36.40227041030223))"
Cumberland,"POLYGON ((-85.26908803712892 35.79412589484181, -85.24965044315051 35.79911068595214, -85.24258222715837 35.91251468371218, -85.26378687513481 35.97856316592407, -85.24611633515444 36.10069054812719, -85.15246247325847 36.09944435034961, -85.10121790731539 36.13807648145468, -85.0305357473939 36.17047762367183, -84.90860902152933 36.15552325034083, -84.80611988964317 36.08947476812894, -84.72130129773738 35.99476373703265, -84.68065905578253 35.90752989260185, -84.73013656772757 35.85768198149854, -84.78138113367065 35.82528083928138, -84.8025857816471 35.8240346415038, -84.91567723752148 35.76297095040224, -84.92804661550774 35.76920193929016, -85.25495160514463 35.76670954373499, -85.26908803712892 35.79412589484181))"
Grainger,"POLYGON ((-83.66637006090917 36.34369911475584, -83.65753479091899 36.33123713698001, -83.53207395705834 36.3536686969765, -83.38540847522125 36.41348619030047, -83.30412399131154 36.38856223474882, -83.27938523533902 36.39479322363673, -83.28822050532921 36.37859265252816, -83.2546464793665 36.28886641254219, -83.32709569328603 36.29634359920769, -83.44902241915059 36.21783313921998, -83.46669295913097 36.17421621700458, -83.54090922704853 36.18169340367007, -83.67343827690132 36.12436830590126, -83.66637006090917 36.08075138368586, -83.69817703287384 36.10941393257027, -83.73175105883655 36.16424663478391, -83.71408051885618 36.17297001922699, -83.66637006090917 36.34369911475584))"
Lauderdale,"POLYGON ((-89.64784784426513 35.90254510149152, -89.63017730428476 35.92373046371043, -89.39692617654386 35.94117723259659, -89.3421475026047 35.88011354149503, -89.33861339460863 35.86142057483129, -89.356283934589 35.81780365261589, -89.40046028453993 35.82278844372622, -89.50118236242804 35.58102607487515, -89.62310908829261 35.65330554597495, -89.75740519214344 35.65081315041979, -89.94471291593538 35.56108691043382, -89.93234353794912 35.60844242598197, -89.87579781001193 35.62713539264571, -89.89876951198642 35.65081315041979, -89.95708229392164 35.69567627041277, -89.91467299796875 35.75549376373674, -89.86342843202567 35.74801657707125, -89.79628038010026 35.78291011484357, -89.72383116618073 35.81032646595039, -89.72913232817484 35.84646620150029, -89.72206411218269 35.87263635482953, -89.64608079026709 35.89382171704844, -89.64784784426513 35.90254510149152))"
Coffee,"POLYGON ((-86.25687122203172 35.41278937490146, -86.23389952005724 35.45266770378412, -86.24450184404546 35.63212018375604, -86.24450184404546 35.68944528152485, -86.20562665608864 35.70439965485585, -86.08723403822015 35.64707455708704, -85.98474490633399 35.66078273264045, -85.94940382637324 35.57479508598723, -85.87695461245373 35.52494717488392, -85.86988639646158 35.38038823268432, -85.91406274641251 35.28941579492077, -86.02538714828884 35.34424849713442, -86.15791619814163 35.36294146379816, -86.26040533002779 35.33427891491375, -86.2798429240062 35.38786541934981, -86.25687122203172 35.41278937490146))"
Van Buren,"POLYGON ((-85.60306124275796 35.7953720926194, -85.59952713476189 35.80658787261764, -85.54298140682469 35.79786448817456, -85.53591319083255 35.80035688372973, -85.52000970485021 35.79287969706423, -85.52707792084236 35.80783407039522, -85.51824265085217 35.8165574548383, -85.5005721108718 35.80658787261764, -85.49527094887769 35.81406505928314, -85.47406630090124 35.82278844372622, -85.46523103091106 35.81531125706072, -85.46346397691302 35.82278844372622, -85.44932754492872 35.82278844372622, -85.44049227493853 35.8165574548383, -85.4245887889562 35.81531125706072, -85.26555392913285 35.82278844372622, -85.26908803712892 35.79412589484181, -85.25495160514463 35.76670954373499, -85.26555392913285 35.72184642374201, -85.4245887889562 35.56731789932174, -85.45992986891694 35.54737873488041, -85.55888489280703 35.533670559327, -85.59599302676581 35.61841200820263, -85.61543062074422 35.76172475262466, -85.60306124275796 35.7953720926194))"
Marshall,"POLYGON ((-86.96015871325054 35.4177741660118, -86.84883431137419 35.5261933726615, -86.81172617741541 35.69692246819035, -86.78168625944878 35.70689205041101, -86.75164634148214 35.69692246819035, -86.68626534355477 35.71063064374376, -86.63855488560776 35.68695288596969, -86.66329364158028 35.49254603266677, -86.61735023763131 35.36792625490849, -86.59967969765094 35.36543385935332, -86.60144675164898 35.32680172824826, -86.74634517948803 35.25327605937087, -86.82762966339774 35.26449183936911, -86.90538003931138 35.31433975047243, -86.96015871325054 35.4177741660118))"
Sequatchie,"POLYGON ((-85.55888489280703 35.533670559327, -85.45992986891694 35.54737873488041, -85.4245887889562 35.56731789932174, -85.43695816694246 35.54239394377008, -85.40338414097975 35.49254603266677, -85.22667874117603 35.35421807935508, -85.24611633515444 35.31932454158276, -85.38748065499742 35.14734924827633, -85.40338414097975 35.22336731270888, -85.55888489280703 35.31932454158276, -85.4864356788875 35.40655838601356, -85.60836240475207 35.53242436154942, -85.55888489280703 35.533670559327))"
Smith,"POLYGON ((-86.13671155016519 36.29509740143011, -86.080165822228 36.35491489475408, -85.97767669034184 36.40476280585739, -85.97767669034184 36.4259481680763, -85.89639220643214 36.42096337696597, -85.82924415450672 36.41223999252289, -85.82924415450672 36.25521907254746, -85.78153369655972 36.2377723036613, -85.80980656052832 36.20661735922173, -85.80803950653028 36.13059929478918, -85.86458523446747 36.09321336146169, -85.91052863841644 36.11689111923577, -86.05896117425155 36.0857361747962, -86.11550690218874 36.26892724810087, -86.13671155016519 36.29509740143011))"
Jackson,"POLYGON ((-85.82924415450672 36.41223999252289, -85.81510772252243 36.49947383695369, -85.70555037464412 36.52190539695018, -85.5765554327874 36.47205748584687, -85.49527094887769 36.40227041030223, -85.49880505687376 36.37485405919541, -85.49527094887769 36.3025745880956, -85.55888489280703 36.22281793033031, -85.78153369655972 36.2377723036613, -85.82924415450672 36.25521907254746, -85.82924415450672 36.41223999252289))"
McMinn,"POLYGON ((-84.62057921984926 35.64458216153187, -84.58523813988852 35.64458216153187, -84.56756759990814 35.62962778820088, -84.52515830395525 35.62464299709055, -84.40853274008479 35.39908119934806, -84.40146452409265 35.330540321581, -84.49511838598862 35.28567720158802, -84.66828967779627 35.26823043270186, -84.70363075775701 35.24081408159504, -84.6983295957629 35.25327605937087, -84.74427299971187 35.26449183936911, -84.72306835173542 35.28567720158802, -84.86089856358232 35.35047948602233, -84.80081872764906 35.45516009933928, -84.62057921984926 35.64458216153187))"
Sumner,"POLYGON ((-86.56080450969412 36.64029418582055, -86.5502021857059 36.63780179026539, -86.50779288975301 36.65275616359638, -86.41060491986096 36.64777137248605, -86.20562665608864 36.63904798804297, -86.2179960340749 36.49947383695369, -86.22683130406509 36.48701185917786, -86.26747354601994 36.45211832140554, -86.28337703200228 36.34743770808858, -86.29751346398658 36.31379036809385, -86.45124716181581 36.33497573031276, -86.5219293217373 36.27765063254395, -86.55196923970394 36.31877515920418, -86.59437853565683 36.2452494903268, -86.63855488560776 36.25521907254746, -86.75518044947822 36.40476280585739, -86.69333355954691 36.40725520141256, -86.56080450969412 36.64029418582055))"
Dyer,"POLYGON ((-89.62664319628868 36.18543199700282, -89.48704593044374 36.18667819478041, -89.48174476844963 36.21284834810965, -89.15307272481472 36.20412496366657, -89.16190799480491 36.02591868147222, -89.20608434475584 36.01096430814123, -89.18841380477546 35.99974852814298, -89.2803006126734 35.88634453038294, -89.3421475026047 35.88011354149503, -89.39692617654386 35.94117723259659, -89.63017730428476 35.92373046371043, -89.64784784426513 35.90254510149152, -89.6513819522612 35.92123806815526, -89.68672303222195 35.9474082214845, -89.73266643617092 35.99974852814298, -89.69202419421606 36.01968769258431, -89.6796548162298 36.08199758146345, -89.64254668227102 36.10318294368236, -89.59130211632794 36.13558408589951, -89.62310908829261 36.18293960144766, -89.62664319628868 36.18543199700282))"
Lincoln,"POLYGON ((-86.82762966339774 35.26449183936911, -86.74634517948803 35.25327605937087, -86.60144675164898 35.32680172824826, -86.59967969765094 35.36543385935332, -86.52546342973338 35.35546427713266, -86.52723048373142 35.31184735491726, -86.39116732588255 35.23582929048471, -86.36289446191395 35.12367149050225, -86.31695105796499 35.127410083835, -86.31871811196302 34.99157452607847, -86.46715064779815 34.99032832830089, -86.78345331344681 34.99157452607847, -86.78345331344681 34.99157452607847, -86.83646493338793 34.99282072385606, -86.82762966339774 35.26449183936911))"
Johnson,"POLYGON ((-81.98413465477775 36.50819722139677, -81.87104319890337 36.60166205471548, -81.82686684895243 36.61412403249131, -81.64662734115264 36.61163163693615, -81.67843431311731 36.58795387916207, -81.69963896109375 36.53685977028118, -81.69610485309768 36.46831889251412, -81.7349800410545 36.41348619030047, -81.72614477106431 36.38856223474882, -81.7067071770859 36.3387143236455, -81.76855406701721 36.34120671920067, -81.83393506494458 36.34743770808858, -81.90815133286215 36.30132839031802, -81.91875365685037 36.28762021476461, -81.93465714283271 36.26394245699053, -82.05835092269531 36.36737687252991, -81.95056062881504 36.47205748584687, -81.98413465477775 36.50819722139677))"
Bradley,"POLYGON ((-84.94571715548811 35.28816959714319, -84.92804661550774 35.28941579492077, -84.86089856358232 35.35047948602233, -84.72306835173542 35.28567720158802, -84.74427299971187 35.26449183936911, -84.6983295957629 35.25327605937087, -84.70363075775701 35.24081408159504, -84.70009664976094 35.1710270060504, -84.77607997167654 34.98783593274572, -84.81142105163728 34.98783593274572, -84.86089856358232 34.98783593274572, -84.97752412745278 34.98783593274572, -84.96162064147045 35.01525228385255, -85.00933109941745 35.09251654606268, -85.02700163939782 35.13613346827808, -84.94571715548811 35.28816959714319))"
Montgomery,"POLYGON ((-87.64047450249487 36.63780179026539, -87.34714353882069 36.64154038359813, -87.33654121483247 36.64154038359813, -87.11565946507781 36.6440327791533, -87.15100054503856 36.56676851694316, -87.12096062707192 36.45585691473829, -87.27999548689527 36.3536686969765, -87.28706370288742 36.32126755475934, -87.30296718886976 36.31254417031627, -87.51324661463619 36.33497573031276, -87.58746288255375 36.34120671920067, -87.59276404454786 36.36737687252991, -87.64047450249487 36.63780179026539))"
Stewart,"POLYGON ((-88.07163567801594 36.67768011914804, -88.01155584208267 36.67643392137045, -87.84898687426325 36.66397194359462, -87.85428803625736 36.63281699915505, -87.69348612243598 36.6365555924878, -87.64047450249487 36.63780179026539, -87.64047450249487 36.63780179026539, -87.59276404454786 36.36737687252991, -87.71645782441047 36.36862307030749, -87.82248106429269 36.32874474142484, -87.98151592411604 36.3536686969765, -87.99211824810426 36.35989968586441, -88.06103335402771 36.44339493696246, -88.05396513803557 36.49947383695369, -88.05043103003949 36.49947383695369, -88.03452754405716 36.55181414361217, -88.0557321920336 36.63032460359989, -88.07163567801594 36.67768011914804))"
Claiborne,"POLYGON ((-83.98797388855195 36.58920007693965, -83.92966110661672 36.58795387916207, -83.89432002665598 36.58670768138449, -83.68934176288366 36.58296908805174, -83.67520533089936 36.6004158569379, -83.47199412112508 36.59916965916032, -83.39777785320751 36.53436737472601, -83.36950498923892 36.45959550807104, -83.38540847522125 36.41348619030047, -83.53207395705834 36.3536686969765, -83.65753479091899 36.33123713698001, -83.66637006090917 36.34369911475584, -83.73175105883655 36.34494531253342, -83.80420027275608 36.43591775029697, -83.9049223506442 36.41971717918839, -83.92259289062457 36.42719436585389, -83.94203048460298 36.47330368362445, -83.95616691658728 36.50196623250886, -83.98443978055587 36.56053752805525, -83.98797388855195 36.58920007693965))"
Lewis,"POLYGON ((-87.65814504247524 35.60968862375955, -87.58746288255375 35.65330554597495, -87.46023499469507 35.61591961264747, -87.3383082688305 35.65953653486287, -87.3524447008148 35.5847646682079, -87.29766602687565 35.54862493265799, -87.26939316290705 35.50625420822018, -87.29413191887957 35.44519051711862, -87.44786561670881 35.45765249489445, -87.44963267070685 35.42151275934454, -87.57509350456749 35.39908119934806, -87.64577566448898 35.47260686822544, -87.71822487840851 35.48382264822369, -87.65107682648309 35.5698102948769, -87.65814504247524 35.60968862375955))"
