county,geometry
Hardeman,"POLYGON ((-89.18311264278135 35.39783500157048, -89.18134558878332 35.43272853934279, -89.07885645689716 35.43148234156521, -88.84207122116017 35.42774374823246, -88.79436076321316 35.32929412380342, -88.7819913852269 35.24829126826054, -88.78729254722101 34.99531311941122, -88.8244006811798 34.99531311941122, -89.01700956696585 34.99531311941122, -89.02584483695604 34.99531311941122, -89.19724907476565 34.99406692163364, -89.18311264278135 35.39783500157048))"
Loudon,"POLYGON ((-84.58523813988852 35.64458216153187, -84.34668585015349 35.8315118281693, -84.32901531017312 35.89257551927086, -84.26363431224576 35.8963141126036, -84.17704866634193 35.81904985039347, -84.16644634235371 35.80534167484006, -84.17174750434782 35.71312303929893, -84.13463937038904 35.64832075486462, -84.18765099033016 35.61093482153714, -84.29014012221631 35.65579794153012, -84.5039536559788 35.66576752375078, -84.52515830395525 35.62464299709055, -84.56756759990814 35.62962778820088, -84.58523813988852 35.64458216153187))"
Fayette,"POLYGON ((-89.63194435828279 35.37664963935157, -89.61604087230046 35.3891116171274, -89.47290949845944 35.40281979268081, -89.18311264278135 35.39783500157048, -89.19724907476565 34.99406692163364, -89.35274982659293 34.99406692163364, -89.43403431050264 34.99406692163364, -89.64431373626905 34.99406692163364, -89.63194435828279 35.37664963935157))"
McNairy,"POLYGON ((-88.7819913852269 35.24829126826054, -88.7201444952956 35.24829126826054, -88.64239411938196 35.36169526602058, -88.5681778514644 35.38288062823948, -88.36319958769208 35.3816344304619, -88.37556896567834 35.30437016825176, -88.38087012767245 34.99531311941122, -88.47098988157235 34.9965593171888, -88.78729254722101 34.99531311941122, -88.7819913852269 35.24829126826054))"
Weakley,"POLYGON ((-88.82793478917587 36.50196623250886, -88.81733246518765 36.50196623250886, -88.51693328552132 36.50072003473127, -88.53106971750562 36.15178465700809, -88.53283677150365 36.1143987236806, -88.65653055136626 36.11689111923577, -88.69363868532504 36.06205841702212, -88.86504292313465 36.13683028367709, -88.95869678503063 36.22281793033031, -88.9480944610424 36.40974759696773, -88.81733246518765 36.41099379474531, -88.82793478917587 36.50196623250886))"
Madison,"POLYGON ((-89.06825413290893 35.6931838748576, -89.02054367496193 35.67199851263869, -88.89154873310521 35.78415631262115, -88.91452043507969 35.79786448817456, -88.70777511730934 35.79163349928665, -88.60705303942122 35.79038730150906, -88.60351893142514 35.62713539264571, -88.61412125541337 35.58850326154064, -88.67596814534467 35.4900536371116, -88.84207122116017 35.42774374823246, -89.07885645689716 35.43148234156521, -89.06825413290893 35.6931838748576))"
Rhea,"POLYGON ((-84.91567723752148 35.76297095040224, -84.8025857816471 35.8240346415038, -84.78138113367065 35.82528083928138, -84.75487532370009 35.75549376373674, -84.72483540573346 35.75300136818158, -84.72306835173542 35.69069147930244, -84.78138113367065 35.67449090819386, -84.79551756565495 35.55236352599074, -84.87503499556662 35.55111732821316, -84.86089856358232 35.4975308237771, -84.9121431295254 35.44269812156345, -84.9686888574626 35.46762207711511, -85.0163993154096 35.40905078156872, -85.10298496131342 35.42898994601004, -85.13479193327809 35.45889869267203, -85.14716131126436 35.49129983488918, -85.10828612330754 35.57230269043207, -84.91567723752148 35.76297095040224))"
Campbell,"POLYGON ((-84.26186725824772 36.5929386702724, -84.22652617828697 36.59169247249482, -84.22652617828697 36.59169247249482, -83.98797388855195 36.58920007693965, -83.98797388855195 36.58920007693965, -83.98443978055587 36.56053752805525, -83.95616691658728 36.50196623250886, -83.94203048460298 36.47330368362445, -83.92259289062457 36.42719436585389, -83.9049223506442 36.41971717918839, -83.92082583662653 36.38731603697124, -83.95439986258924 36.38731603697124, -83.9809056725598 36.28512781920944, -84.00387737453428 36.27017344587846, -84.03215023850288 36.30132839031802, -84.06925837246166 36.2302951169958, -84.22652617828697 36.24400329254922, -84.24242966426931 36.17670861255974, -84.37319166012405 36.21658694144239, -84.32901531017312 36.28512781920944, -84.35021995814957 36.46582649695895, -84.33078236417116 36.50944341917435, -84.26716842024183 36.51193581472952, -84.2512649342595 36.53436737472601, -84.26186725824772 36.5929386702724))"
Roane,"POLYGON ((-84.78138113367065 35.82528083928138, -84.73013656772757 35.85768198149854, -84.68065905578253 35.90752989260185, -84.60467573386693 35.95363921037242, -84.44564087404358 35.98604035258957, -84.34138468815938 36.04835024146871, -84.32018004018293 35.9910251436999, -84.2707025282379 35.91002228815702, -84.26363431224576 35.8963141126036, -84.32901531017312 35.89257551927086, -84.34668585015349 35.8315118281693, -84.58523813988852 35.64458216153187, -84.62057921984926 35.64458216153187, -84.61881216585122 35.7081382481886, -84.72483540573346 35.75300136818158, -84.75487532370009 35.75549376373674, -84.78138113367065 35.82528083928138))"
Henry,"POLYGON ((-88.51693328552132 36.50072003473127, -88.51339917752524 36.50072003473127, -88.49042747555076 36.50072003473127, -88.12818140595313 36.49822763917611, -88.05396513803557 36.49947383695369, -88.06103335402771 36.44339493696246, -87.99211824810426 36.35989968586441, -88.03276049005912 36.35989968586441, -88.09637443398846 36.35865348808683, -88.09284032599238 36.33996052142309, -88.10167559598257 36.32625234586968, -88.10344264998061 36.3100517747611, -88.09107327199435 36.29509740143011, -88.09460737999042 36.29260500587494, -88.08930621799631 36.28886641254219, -88.09284032599238 36.28014302809911, -88.09284032599238 36.27515823698878, -88.08753916399827 36.26768105032329, -88.08577211000024 36.25397287476987, -88.21299999785892 36.11938351479093, -88.21299999785892 36.14555366812017, -88.53106971750562 36.15178465700809, -88.51693328552132 36.50072003473127))"
